Session ID,session_1747364260751_7zomrmr
Prolific ID,6690464404e2d3a5271a608d
Status,completed
Progress,32/32
Created At,"5/15/2025, 10:57:40 PM"
Updated At,"5/15/2025, 11:19:45 PM"
Completed At,"5/15/2025, 11:19:45 PM"

Question Number,Question,Answer
15,How do you think the interests of current residents versus future residents should be balanced when making zoning decisions?,"I think the interests of the current residents have already been taken into account. If you buy a house and you have a mortgage, I don't necessarily think your interests are as important as people who can't afford to buy a house. I think the people who need homes and need to find housing that is safe and appropriate for their children needs to be more important than the current interests of the residents that already have homes."
16,What role do you think social equity and access to opportunity play in discussions about zoning and housing policy?,I think this is hugely important. Social equity and access to housing is so important. There are too many people that are pushed out of the housing market because the prices are too high and the interest rates have skyrocketed. I think that the discussions need to be centered around how can we make sure anyone who wants to buy a house can buy a house or an apartment.
17,How confident are you that changes in High housing prices lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"My confidence level is medium. I think having a upzoning is an option for creating some change, but I think more change needs to happen. And it can't just happen in lower and middle class neighborhoods. It needs to be happening in all neighborhoods or else it feels unbalanced. Because there is positive effects, but there's also negative effects. Because like mentioned before, you have more traffic and more resources being used."
18,"What factors do you think influence Support for Upzoning, and how strong is their impact? Please also indicate if these influences are positive (increasing) or negative (decreasing).","I think the factors that support upzoning are people who want to get into the market, who want their kids to go to good schools. So if there's opportunities with condos or apartment buildings that are building up, that creates a positive change because everyone deserves to send their kids to a good school."
19,"Is the effect of House prices on Support for Upzoning immediate, or does it take time to develop? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think it takes time to develop. I know in our neighborhood when the apartments went up there was some concern, but I think that overall the positive effect supersedes any negative effects."
20,How confident are you that changes in Four-story apartments lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I'm semi-confident that for a four-story apartment would lead to changes and support for upzoning. I think the support is coming from outside the area, not necessarily current residents. I think it has positive effect because it brings people into your neighborhood that might not necessarily be able to afford it. And there is the negative effect of traffic and congestion and resources being used. And the effect is going to be strong on both sides."
21,How would you describe the relationship between Transportation Systems and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"In an ideal world, the local government would make sure the relationship between transportation systems and support for upzoning would work together. Like I mentioned earlier, when our three or four story apartments went up around the corner, we had to have a new stop sign put in, we needed a new stoplight to be put in, because there was more traffic."
22,"Is the effect of Neighborhood Development on Support for Upzoning immediate, or does it take time to develop? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?",I think the effect of neighborhood development for supporting the upzoning took quite a while to develop. I don't think it was immediate. I think current homeowners probably saw it as a negative and the question of how strong is this effect is pretty strong. People were very concerned.
23,"Would small changes in Housing development lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think small changes are great, but big changes make a bigger difference. If you're going to support upzoning, you need to be able to support it with more schools, more grocery stores, more gas stations. So small changes seems like it moves too slowly. For that positive effect to increase, you need to see the changes moving a little faster and bigger."
24,"Is the effect of Urban density on Support for Upzoning immediate, or does it take time to develop? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think the urban density support for upzoning is over time to develop the support. I think that there is both positive effects and negative effects. For example, we just got our first gas station on this side of town and that's a positive effect, but waiting for it was negative."
25,How would you describe the relationship between Diverse Culture and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I think there is a relationship between diverse culture and support for upzoning. I think that it's important for people to recognize that that connection is strong and we need to recognize that not everyone is going to look the same or have the same economic, socioeconomic similarities, that our differences are what bring us together and the effect of that is very strong."
26,How would you describe the relationship between Future residents' needs and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"How would I describe the relationship between future residents' needs and support for upzoning? I think the connection is strong there. I think when you consider future residents, they're going to need the infrastructure, be able to driving back and forth. I think you're going to need schools for families and that support for upzoning is going to come in because people who want to live in certain neighborhoods are going to support upzoning. I think the connection is strong. I think it would have a positive effect because when you bring families into neighborhoods, that's a positive effect."
27,"Would small changes in Affordability of housing lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I don't believe that small changes in affordability of housing would lead to noticeable changes in support for upzoning. I think that the current housing market is out of reach for a large population of people. Even the middle class can't get into the housing market. So it requires these larger shifts. And does it have a positive or negative effect? Well, I think it all depends on the changes. Is it a small affordability of housing change or a large?"
28,"Does Social Equity have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think in this day and age, in 2025, social equity needs to have a positive effect that all of us should be supporting upzoning so that all people, families, individuals who want to be able to live in certain areas, that the local government will make it possible. I think this would have a positive effect and I think it would be strong."
29,"Does Access to Opportunity have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?",Does access to opportunity have a positive or negative effect for support for upzoning? I believe it has a positive effect. And I think it's significant because the effect being positive is strong when you think about wanting to support people getting into housing.
30,What causes changes in Housing shortage? Are these influences strong or weak?,"The changes in housing shortage is both strong and weak. In a very expensive area, it is hugely a strong influence on people's lives because if you can't find housing you can afford, you're put in positions that you shouldn't be in. Everyone should be able to find housing that's within their cost of living."
31,"Does Good schools have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","I think good schools have a very positive effect on the support for upzoning. When you see a school with great scores and a reputation and there's land near it, it's only natural for people to want to have more housing in that area so families can send their kids there. I think it's a very strong effect."
32,"Would small changes in Condos or apartment buildings lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?",I think small changes in condos or apartment buildings would lead to noticeable changes in support for upzoning. It's very rare that condos and apartment buildings are built in towns that are more residential like the suburbs. So I think it would have a positive effect and I do think it would be strong.
