Session ID,session_1747403396678_ehyv6ro
Prolific ID,6810e66d3f6d622de733cb42
Status,completed
Progress,33/33
Created At,"5/16/2025, 9:49:56 AM"
Updated At,"5/16/2025, 10:20:06 AM"
Completed At,"5/16/2025, 10:20:06 AM"

Question Number,Question,Answer
19,How confident are you that changes in Increase in housing supply lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I am confident that increases in housing supply have a positive effect on support for upzoning, and this effect is moderately strong because more supply can ease shortages and improve affordability."
20,How confident are you that changes in Neighborhood character lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I am confident that changes in neighborhood character have a negative effect on support for upzoning, and this effect is fairly strong because many residents worry about losing the feel and identity of their community."
21,How would you describe the relationship between Traffic congestion and Support for Upzoning? Is it a strong or weak connection? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"The relationship between traffic congestion and support for upzoning is moderate and negative, increased congestion tends to decrease support because it raises concerns about overcrowding and commute times."
22,How confident are you that changes in Community input lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,"I am confident that increased community input has a positive effect on support for upzoning, and this effect is moderately strong because when people feel heard, they’re more likely to accept changes."
23,"Does Urban density have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","Urban density generally has a positive effect on support for upzoning, and this effect is moderate to strong because denser areas often recognize the need for more housing and infrastructure improvements."
24,"Would small changes in Lower housing costs lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","It would take larger shifts in lower housing costs to noticeably increase support for upzoning; the effect is positive but generally moderate, as small changes may not immediately change opinions."
25,How confident are you that changes in Accommodating future residents lead to changes in Support for Upzoning? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?,I am confident that efforts to accommodate future residents have a positive and moderately strong effect on support for upzoning because planning for growth helps communities see the long-term benefits.
26,"Is the effect of Access to opportunity on Support for Upzoning immediate, or does it take time to develop? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","The effect of access to opportunity on support for upzoning usually takes time to develop, has a positive effect, and is moderately strong as people gradually recognize the benefits of equitable housing access."
27,What causes changes in Upzoning policies? Are these influences strong or weak?,"Changes in upzoning policies are caused by housing demand, political will, community input, and economic factors; these influences can be strong or weak depending on local priorities and pressures."
28,"Does Improve affordability have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?",Improving affordability has a strong positive effect on support for upzoning because it directly addresses housing needs and gains community backing.
29,"Does Negative effect have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","A negative effect decreases support for upzoning and can be quite strong, especially when concerns involve neighborhood character, traffic, or overcrowded schools."
30,"Would small changes in Positive effect lead to noticeable changes in Support for Upzoning, or would it take larger shifts? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","Small changes in positive effects may lead to some increase in support for upzoning, but larger shifts are usually needed for noticeable impact; overall, the effect is positive and moderate in strength."
31,"Does Moderately strong effect have a positive or negative effect on Support for Upzoning, and how significant is this effect? Does it have a positive effect (increasing it) or a negative effect (decreasing it)? How strong is this effect?","A moderately strong effect can be either positive or negative on support for upzoning, meaning it significantly increases or decreases support depending on the influence, but the strength is consistently noticeable."
32,"What factors do you think influence Increased housing density, and how strong is their impact? Please also indicate if these influences are positive (increasing) or negative (decreasing).","Factors influencing increased housing density include housing demand (positive, strong), zoning laws (positive, strong), community opposition (negative, moderate), infrastructure capacity (negative, moderate), and economic incentives (positive, moderate)."
33,"What do you think are the main causes of Upzoning, and how certain are you about these relationships? Please also indicate if these influences are positive (increasing) or negative (decreasing).","The main causes of upzoning are housing shortages (positive, strong), political support (positive, moderate), community advocacy (positive, moderate), and concerns about neighborhood impact (negative, moderate); I am fairly confident in these relationships."
